poi_id,name,category,satisfaction_score,cost,duration_time_min,latitude,longitude
93,Matara Paravi Duwa Temple,Religious Site,0.39,0,120,5.9485,80.5353
94,Mihintale,Religious Site,3.23,0,120,8.3583002,80.5121579
95,Minneriya National Park,National Park / Wildlife Reserve,3.87,5000,240,8.0161446,80.850139
96,Mirissa Beach,Beach,3.87,0,180,5.9431556,80.4618001
97,Moon Plains,Viewpoint / Hiking,1.07,0,120,6.9504901,80.8067974
98,Moonstone or Sandakada pahana,Heritage Site,4.3,1000,45,8.3122,80.4131
99,Mount Lavinia Beach,Beach,3.23,0,180,6.8362022,79.8649564
100,Mulgirigala Raja Maha Vihara,Religious Site,2.47,0,120,6.123,80.7364
101,Muthurajawela Marsh,Wetland / Nature Park,1.52,500,120,7.12,79.88
102,Nagadipa Purana Vihara,Religious Site,1.07,0,120,9.6128,79.774
103,Nalanda Gedige,Heritage Site,0.64,0,120,7.6697429,80.645926
104,Nallur Kandaswamy Kovil Festival,Religious / Cultural Event,4.8,0,180,9.67457,80.0296574
105,Negombo Beach,Beach,3.88,0,180,7.2424579,79.8408979
106,Negombo Fish Market,Shopping / Market,2.56,0,120,7.2110593,79.8318074
107,Nilavarai Bottomless Well,Natural Landmark,0.59,0,120,9.7543399,80.0883
108,Nilaveli Beach,Beach,1.76,0,180,8.6980818,81.1929762
109,Nine Arches Bridge,Engineering Landmark,3.86,0,120,6.8760426,81.061567
110,Old Parliament Building,Landmark / Public Building,1.64,0,120,6.9309613,79.8429228
111,Pasikudah Beach,Beach,0.66,0,180,7.9294868,81.5613931
112,Pedro Tea Factory,Farm / Factory,3.23,1000,120,6.969943,80.795548
113,Pettah Floating Market,Shopping / Market,0.67,0,120,6.9327568,79.854912
114,Pidurangala Rock,Viewpoint / Hiking,3.22,1000,120,7.966063,80.7616591
115,Pidurutalagala,Viewpoint / Hiking,0.55,0,120,7.0009508,80.7736523
116,Pinnawala Elephant Orphanage,Zoo / Wildlife Attraction,3.88,3000,120,7.300512,80.3871935
117,Pitawala Pathana,Viewpoint / Hiking,3.01,0,120,7.5490862,80.7541155
118,Polhena Beach,Beach,1.36,0,180,5.9361875,80.5256355
119,Polonnaruwa Vatadage,Heritage Site,1.24,1000,120,7.9473418,81.0014847
120,Popham's Arboretum,Garden / Park,1.02,1000,120,7.8608104,80.6758588
121,Rankoth Vehera,Religious Site,0.37,0,120,7.9582,81.0034
122,Ravana Ella Falls,Waterfall,3.22,0,90,6.8682666,81.0596926
123,Richmond Castle,Heritage Site,1.25,500,120,6.6016907,79.9751218
124,Ridee Viharaya (silver Temple),Religious Site,4.6,0,90,7.5366541,80.4914296
125,Ritigala Forest Monastery,Religious Site,1.51,500,240,8.1313924,80.6593457
126,Royal Botanical Gardens,Garden / Park,3.81,2000,120,7.2706509,80.5963395
127,Ruwanweli Maha Seya,Religious Site,2.96,0,120,8.350051,80.3963636
128,Samadhi Statue,Religious Site,0.67,0,120,8.3619,80.3992
129,Samudra Parakrama,Lake / River,0.19,0,120,7.9,80.967
130,Sea Turtle Conservation Project (Koggala),Wildlife Conservation,4.5,1500,90,5.9912,80.3255
131,Sea Turtle Farm Galle Mahamodara,Wildlife Conservation,3.22,1500,120,6.0398,80.2082
132,Seema Malakaya Temple,Religious Site,2.05,400,120,6.9161,79.8569
133,Seenigama Muhudu Viharaya,Religious Site,0.37,0,120,6.1553441,80.0900798
134,Seruwila Mangala Raja Maha Vihara,Religious Site,0.26,0,120,8.3708,81.3194
135,Sigiriya Lion Rock,Heritage Site,3.48,4500,120,7.9566634,80.7599301
136,Single Tree Hill,Viewpoint / Hiking,1.65,0,120,6.9580205,80.7626508
