,Aberdeen Falls,Abhayagiri Dagaba,Ambewela Farms,Ambuluwawa Tower,Ancient City of Polonnaruwa,Angurukaramulla Temple,Arugam Bay,Bahiravokanda Vihara Buddha Statue,Baker's Falls,Bambarakanda Falls,Batticaloa Fort,Beddegana Wetland Park,Bentota Beach,Bogoda Wooden Bridge,Bopath Ella (Bopath Falls),Brief Garden - Bevis Bawa,Buduruwagala Temple,Casuarina Beach,Ceylon Tea Museum,Coconut Tree Hill,Colombo Lotus Tower,Colombo National Museum,Dagoba of Thuparama,Dambulla Cave Temple,Dehiwala Zoo - Sri Lanka,Demodara Loop,Devon Falls,Diyaluma Falls,Diyatha Uyana,Dondra Head Lighthouse,Dunhinda Falls,Dutch Hospital Shopping Precinct,Elephant Pass,Elephant Transit Home (ETH),Ella Rock,Embekka Devalaya,Fort Frederick,Gal Oya National Park,Gal Vihara,Galle Dutch Fort,Galle Face Green,Galle Face Hotel,Galle Fort Lighthouse,Galway's Land National Park,Gangaramaya Temple,Gartmore Falls,Goyambokka Beach,Gregory Lake,Hakgala Botanic Gardens,Handunugoda Tea Estate,Henerathgoda Botanical Garden,Hikkaduwa Beach,Hiriketiya Beach,Horton Plains National Park,Hummanaya Blow Hole,Hurulu Eco Park,Independence Memorial Hall,Isurumuniya Temple,Jaffna Fort,Jaffna Public Library,Jami Ul-Alfar Mosque,Japanese Peace Pagoda - Rumassala,Jaya Sri Maha Bodhi,Jungle Beach,Kabalana Beach,Kalametiya Eco Bird Watching,Kalutara Bodhiya,Kande Viharaya Temple,Kandy Lake,Kandy View Point,Kanniya Hot Springs,Kataragama Temple,Kaudulla National Park,Keerimalai Hot springs,Kelaniya Raja Maha Vihara,Kiri Vehera,Kirinda Viharaya,Knuckles Mountain Range,Koggala Lake,Kosgoda Sea Turtle Conservation Project,Kumana National Park,Laxapana Falls,Lipton’s Seat,Little Adam's Peak View Point,Lovamahapaya Brazen Palace,Lover's Leap Falls,Lunugamvehera National Park,Madu River Safari by Buddhi,Maduru Oya National Park,Maha Saman Dewalaya,Maligawila Buddha Statue,Marble Beach,Matara Paravi Duwa Temple,Mihintale,Minneriya National Park,Mirissa Beach,Moon Plains,Moonstone or Sandakada pahana,Mount Lavinia Beach,Mulgirigala Raja Maha Vihara,Muthurajawela Marsh,Nagadipa Purana Vihara,Nalanda Gedige,Nallur Kandaswamy Kovil Festival,Negombo Beach,Negombo Fish Market,Nilavarai Bottomless Well,Nilaveli Beach,Nine Arches Bridge,Old Parliament Building,Pasikudah Beach,Pedro Tea Factory,Pettah Floating Market,Pidurangala Rock,Pidurutalagala,Pinnawala Elephant Orphanage,Pitawala Pathana,Polhena Beach,Polonnaruwa Vatadage,Popham's Arboretum,Rankoth Vehera,Ravana Ella Falls,Richmond Castle,Ridee Viharaya (silver Temple),Ritigala Forest Monastery,Royal Botanical Gardens,Ruwanweli Maha Seya,Samadhi Statue,Samudra Parakrama,Sea Turtle Conservation Project (Koggala),Sea Turtle Farm Galle Mahamodara,Seema Malakaya Temple,Seenigama Muhudu Viharaya,Seruwila Mangala Raja Maha Vihara,Sigiriya Lion Rock,Single Tree Hill,Sinharaja Forest Reserve,Sithulpawwa Rock Temple,Somawathiya Chaitya,Sri Pada / Adam's Peak,St Benedict's Monastery - Adisham,St Clair's Falls,St Lucia's Cathedral,St. Mary's Church,Statue of Parakramabahu I,Temple of the Sacred Tooth Relic,Trincomalee Beach,Trincomalee War Cemetery,Turtle Conservation Project Turtle Watch,Twin Baths (Kuttam Pokuna),Udawalawe National Park,Unawatuna Beach,Uppuveli Beach,Victoria Park of Nuwara Eliya,Viharamahadevi Park,Visit Kanneliya Rain Forest,Wasgamuwa National Park,Weherahena Buddhist Temple,Weligama Beach,Wewurukannala Vihara,Whale Watching in Mirissa,Wilpattu National Park,Wolvendaal Church,Yala National Park,Yapahuwa Rock Fortress
Galle Dutch Fort,302.96,517.54,329.4,371.29,454.75,272.42,395.99,418.54,299.59,303.0,492.56,107.67,54.05,392.59,92.65,54.8,237.47,825.76,411.34,57.8,113.78,111.86,514.15,413.62,105.49,381.47,317.87,337.26,107.94,45.47,408.09,0.0,771.21,157.68,368.25,390.09,604.86,380.81,460.15,0.0,114.18,113.58,0.51,343.03,112.73,259.2,122.91,340.03,339.79,31.82,241.73,35.37,107.69,305.49,114.21,463.12,110.88,509.46,801.74,801.64,115.31,4.71,511.78,44.98,31.14,157.68,72.4,55.78,418.82,418.86,606.93,256.94,496.89,834.58,114.1,459.48,247.59,482.94,25.21,45.06,342.1,288.09,343.67,372.84,510.88,347.16,237.32,67.28,386.46,79.02,292.06,588.45,38.02,517.26,459.13,56.17,343.63,504.93,103.65,115.12,251.86,795.45,373.53,804.17,280.14,274.15,821.16,625.33,374.96,114.89,511.33,346.97,114.56,443.08,351.92,282.8,354.93,37.3,456.04,415.9,458.42,372.81,73.27,337.68,473.21,408.54,512.94,515.6,443.58,24.51,3.77,112.66,40.03,569.24,440.99,338.51,54.98,280.69,505.54,268.74,323.1,317.29,115.82,115.77,453.09,419.66,609.4,609.81,138.65,503.72,181.09,6.82,607.12,341.34,112.34,56.09,407.42,42.47,46.82,110.67,66.18,535.25,115.4,306.23,394.59
Galle Face Green,205.41,340.31,297.11,231.69,337.6,62.72,434.46,271.2,298.07,311.72,441.06,16.04,60.79,360.56,62.86,59.37,275.1,624.93,268.71,136.73,3.06,4.82,337.2,269.99,16.27,380.85,245.44,375.56,16.39,146.77,381.69,114.18,585.33,239.29,377.81,243.81,475.28,364.67,341.42,114.18,0.0,1.12,114.42,291.75,3.24,227.89,287.38,292.09,304.63,122.99,49.43,97.46,283.69,301.35,285.96,321.04,6.84,332.43,603.72,603.74,3.39,116.2,335.04,131.45,126.11,301.56,41.91,58.76,274.5,273.88,471.44,346.98,361.1,636.63,17.23,341.02,361.59,340.84,122.35,70.01,403.69,205.14,368.49,380.96,333.85,294.3,312.75,79.75,309.44,68.74,332.48,459.28,140.16,347.58,325.44,135.94,300.58,329.67,20.05,263.13,43.63,591.98,239.83,606.72,69.9,63.05,625.2,488.79,380.36,1.36,435.21,297.28,2.87,304.35,291.09,144.56,241.57,140.7,338.34,274.59,340.23,379.86,40.9,195.21,319.67,258.64,336.07,338.73,325.8,123.18,112.26,3.35,94.8,452.67,302.55,286.86,98.37,370.49,391.02,214.22,342.66,251.29,6.5,5.61,336.09,274.41,477.22,477.07,293.32,327.05,245.53,117.33,475.59,288.39,4.31,98.86,295.27,142.49,131.13,288.13,141.96,337.78,4.94,371.82,221.18
Galle Face Hotel,204.94,341.17,296.55,231.69,338.04,63.76,434.06,271.39,297.34,310.99,441.15,15.24,60.19,360.15,62.54,58.77,274.55,626.0,268.84,136.14,3.06,3.87,338.06,270.56,15.15,380.31,244.97,374.81,15.63,146.19,381.28,113.58,586.29,238.49,377.21,243.92,475.86,364.48,341.87,113.58,1.12,0.0,113.82,291.3,2.43,227.08,286.38,291.62,304.11,122.41,50.04,96.86,282.66,300.64,284.94,321.65,5.88,333.3,604.77,604.79,4.23,115.6,335.91,130.86,125.52,300.62,41.31,58.16,274.67,274.05,472.05,346.27,361.67,637.67,17.3,341.46,360.8,341.14,121.76,69.41,403.15,204.56,367.8,380.36,334.73,293.87,312.07,79.15,309.57,68.33,331.98,459.87,139.58,348.39,325.98,135.35,300.09,330.52,18.93,262.16,44.62,593.04,240.3,607.75,70.98,64.13,626.22,489.42,379.76,2.49,435.45,296.83,3.38,304.92,290.68,144.87,241.88,140.12,338.77,275.16,340.68,379.29,40.3,195.67,320.35,258.81,336.94,339.6,326.24,122.58,111.66,2.52,94.2,453.17,303.1,286.39,97.86,369.79,391.47,213.49,341.94,250.82,7.15,6.33,336.52,274.59,477.82,477.68,292.35,327.9,244.8,116.73,476.17,287.94,3.52,98.29,295.63,141.92,130.54,287.1,141.38,338.81,5.59,371.24,221.96
Galle Fort Lighthouse,303.66,518.05,330.02,372.0,455.25,272.9,396.24,419.25,300.19,303.6,492.96,107.93,54.28,393.19,92.92,55.05,237.79,826.27,412.05,57.64,114.03,112.11,514.67,414.12,105.74,382.03,318.56,337.78,108.19,45.41,408.66,0.51,771.72,157.99,368.79,390.79,605.34,381.17,460.63,0.51,114.42,113.82,0.0,343.67,112.98,259.89,122.91,340.67,340.41,31.8,242.22,35.7,107.64,306.11,114.18,463.62,111.13,509.97,802.23,802.15,115.56,4.49,512.29,44.84,30.99,157.74,72.65,56.02,419.53,419.55,607.41,257.11,497.38,835.1,114.36,459.96,247.69,483.62,25.12,45.28,342.31,288.79,344.21,373.37,511.4,347.83,237.55,36.09,386.91,79.29,292.35,588.93,37.96,517.77,459.63,56.03,344.25,505.44,103.89,115.24,252.34,795.96,374.02,804.67,280.62,274.64,821.67,625.83,375.51,115.14,511.77,347.61,114.81,443.58,352.59,283.31,355.43,37.24,456.53,416.42,458.91,373.35,73.52,338.19,473.71,409.24,513.45,516.1,444.06,24.38,4.16,112.9,40.38,569.7,441.48,339.15,55.21,280.86,506.02,269.42,323.66,317.98,116.08,116.02,453.57,420.36,609.88,610.3,138.68,504.22,181.43,6.56,607.62,341.98,112.58,56.53,407.9,42.43,46.7,110.61,65.98,535.75,115.65,306.45,395.1
Galway's Land National Park,86.36,457.84,20.27,94.74,314.46,298.5,330.77,112.97,54.6,62.46,371.64,272.34,297.36,69.43,137.68,281.23,129.09,922.39,105.51,337.07,287.4,286.86,453.04,283.09,284.27,91.48,46.39,107.81,271.11,333.51,90.56,343.03,813.21,169.93,92.49,102.94,527.85,234.77,322.59,343.03,291.75,291.3,343.67,0.0,288.09,90.17,300.88,3.81,17.85,326.21,250.78,336.54,316.24,50.59,311.04,343.59,284.91,447.15,881.31,880.95,289.29,343.16,449.66,336.69,338.21,280.05,281.87,292.29,110.38,110.98,533.74,251.98,382.95,926.51,268.33,321.51,293.55,152.44,333.54,305.49,297.75,89.04,94.29,94.46,448.97,4.16,202.24,317.51,209.04,153.24,194.29,504.73,328.82,445.76,331.14,336.47,10.2,438.49,288.0,265.39,284.49,889.24,225.21,883.22,305.14,305.23,902.94,559.97,92.91,292.16,389.31,5.64,288.39,314.66,11.14,161.12,183.62,333.3,316.5,283.31,319.95,93.15,275.68,200.59,368.46,111.41,451.35,454.71,299.68,337.59,341.36,288.02,333.43,473.04,311.7,5.38,197.36,277.8,383.21,90.86,77.38,40.97,285.58,286.84,312.11,111.58,535.46,536.29,290.14,439.29,146.72,344.27,531.96,3.39,286.65,262.91,248.31,324.79,332.38,321.34,345.66,523.56,287.01,259.41,304.78
Gangaramaya Temple,201.73,341.1,293.25,228.94,336.84,64.52,431.73,268.91,293.94,307.59,439.35,12.83,59.46,356.96,61.26,57.94,272.15,626.73,266.31,135.14,2.31,1.67,337.96,269.67,13.65,377.01,241.74,371.4,13.21,145.14,378.09,112.73,586.58,236.08,373.86,241.33,474.98,362.37,340.69,112.73,3.24,2.43,112.98,288.09,0.0,223.65,284.2,288.39,300.84,121.45,49.29,96.1,280.56,297.26,282.81,320.82,3.66,333.21,605.4,605.42,4.92,114.74,335.81,129.89,124.58,298.33,40.54,57.4,272.16,271.56,471.27,343.86,360.78,638.31,15.59,340.29,358.4,338.81,120.83,68.67,400.77,201.24,364.39,377.04,334.64,290.68,309.66,78.42,307.85,67.04,329.61,458.97,138.54,348.15,325.0,134.36,296.85,330.38,17.8,259.94,45.06,593.88,239.16,608.37,71.82,65.04,626.8,488.65,376.46,4.35,433.86,293.61,3.57,304.0,287.51,143.44,240.44,139.1,337.58,274.23,339.5,375.96,39.48,194.56,319.73,256.31,336.84,339.51,325.02,121.66,110.83,0.13,93.45,452.07,302.19,283.18,96.65,367.38,390.3,210.09,338.53,247.56,6.99,6.4,335.32,272.1,476.98,476.85,290.12,327.8,242.38,115.87,475.33,284.7,1.09,97.23,294.3,140.86,129.56,285.0,140.38,339.31,5.61,368.83,221.59
Gartmore Falls,56.29,503.46,83.68,120.47,390.75,258.6,397.61,163.46,72.09,84.92,461.79,206.06,207.94,154.35,59.79,191.79,165.13,961.67,155.81,265.54,223.8,221.98,498.58,340.18,215.36,162.39,58.69,148.2,205.14,269.87,174.39,259.2,865.07,136.86,155.87,138.17,605.23,320.38,398.53,259.2,227.89,227.08,259.89,90.17,223.65,0.0,251.72,88.14,93.94,248.21,205.5,248.29,260.74,76.37,258.11,407.79,219.54,492.19,923.06,922.8,226.54,260.1,495.15,261.94,260.25,246.81,196.63,203.08,163.03,163.2,608.87,272.14,453.19,969.21,207.28,397.54,300.47,224.12,254.29,215.36,349.07,42.04,142.5,159.66,494.16,94.2,221.89,227.44,295.91,63.86,248.25,581.83,261.21,497.06,399.66,264.54,94.33,484.48,217.59,213.51,237.69,924.3,281.57,925.63,267.51,264.69,947.34,635.19,159.84,228.75,478.26,95.21,225.21,378.77,96.81,172.69,249.84,265.18,392.61,342.3,396.02,158.81,190.76,239.34,426.62,155.19,496.84,500.46,374.94,258.21,256.99,223.54,244.8,554.01,375.77,84.96,120.06,304.29,463.01,18.71,116.1,58.24,223.67,224.72,388.35,163.99,611.96,612.6,247.91,484.05,132.49,261.56,608.66,87.64,222.11,179.68,323.19,259.78,258.13,266.64,276.04,552.11,224.61,303.28,335.59
Goyambokka Beach,307.95,526.8,281.42,369.71,427.95,333.07,294.57,406.71,246.43,241.18,425.53,272.02,195.34,321.28,196.35,190.19,162.51,849.12,398.83,70.08,285.56,282.57,523.39,407.78,272.35,294.64,300.11,240.81,272.04,45.18,329.08,122.91,778.37,92.32,279.28,385.95,574.84,306.63,433.76,122.91,287.38,286.38,122.91,300.88,284.2,251.72,0.0,297.11,289.07,91.17,296.43,151.59,19.07,250.95,11.49,451.12,280.55,519.03,821.75,821.55,288.33,118.81,520.98,81.22,93.96,38.53,220.05,196.32,405.21,405.6,580.63,147.34,477.93,853.93,280.35,432.99,129.42,453.21,98.23,183.34,235.51,293.23,253.52,283.31,520.37,304.29,139.03,172.6,344.58,171.84,201.83,559.05,55.34,520.51,442.14,71.3,296.19,513.36,270.71,26.86,314.02,823.21,366.8,823.44,340.53,336.27,838.26,598.82,286.46,288.56,455.93,302.23,286.98,430.86,311.96,297.05,339.09,58.08,429.45,408.31,431.87,283.95,219.28,342.19,468.0,400.93,522.18,524.65,418.29,99.72,125.49,284.08,154.55,533.12,428.81,298.5,105.57,168.44,472.62,269.27,244.54,295.93,288.0,288.29,426.35,406.33,580.83,581.58,17.73,513.38,113.2,117.41,578.25,300.92,283.2,108.33,382.96,46.58,78.31,19.5,66.73,562.62,287.79,201.48,411.02
Gregory Lake,86.68,461.61,16.52,97.59,318.04,299.96,329.89,116.64,50.81,58.69,373.67,272.51,295.63,69.77,136.76,279.49,126.17,926.14,109.14,333.58,287.74,287.14,456.81,286.91,284.31,90.28,46.65,104.91,271.31,329.87,90.84,340.03,817.01,166.14,90.69,106.18,531.36,235.59,326.16,340.03,292.09,291.62,340.67,3.81,288.39,88.14,297.11,0.0,15.13,322.93,251.91,333.9,312.51,46.78,307.29,347.38,285.15,450.92,885.09,884.72,289.67,340.11,453.43,333.3,334.93,276.24,280.74,290.61,114.06,114.64,537.32,248.94,386.66,930.3,268.78,325.11,290.23,156.21,330.32,303.49,295.95,88.67,91.61,92.81,452.74,7.41,199.09,315.28,212.08,151.44,192.45,508.26,325.26,449.55,334.86,333.0,8.57,442.26,287.96,261.64,285.62,892.95,229.01,886.99,306.71,306.69,906.73,563.55,91.39,292.52,391.97,7.14,288.75,318.45,14.96,163.97,187.41,329.74,320.08,287.12,323.55,91.52,274.56,204.19,372.28,114.9,455.12,458.49,303.3,334.35,338.4,288.32,330.86,476.4,315.49,5.44,194.16,274.99,386.64,89.53,74.14,40.91,286.01,287.25,315.69,115.26,538.99,539.85,286.33,443.06,142.93,341.21,535.48,5.4,286.93,259.93,251.98,321.19,328.99,317.61,342.15,527.14,287.42,257.21,308.34
Hakgala Botanic Gardens,99.56,473.01,10.63,112.56,323.66,314.42,316.54,129.56,43.46,48.28,369.51,284.68,301.84,60.56,146.23,285.71,111.26,937.91,122.23,329.68,300.3,299.53,468.24,297.13,296.19,76.56,59.81,89.96,283.52,324.24,81.04,339.79,827.1,157.44,76.03,120.64,536.1,226.89,331.86,339.79,304.63,304.11,340.41,17.85,300.84,93.94,289.07,15.13,0.0,320.79,265.95,335.91,305.44,38.38,299.81,355.99,297.49,462.43,896.53,896.16,302.34,339.56,464.85,330.19,332.7,266.06,289.18,297.02,126.77,127.39,542.74,234.17,393.75,941.61,281.55,330.79,276.06,164.49,328.52,308.61,281.19,100.07,76.5,78.34,464.23,18.84,184.52,319.29,213.45,157.8,177.64,513.13,320.49,460.18,342.56,329.21,8.36,453.66,299.64,254.36,299.66,905.19,239.72,898.37,321.3,321.13,917.83,568.91,77.1,305.1,390.88,15.43,301.35,327.19,27.3,178.95,196.61,325.05,325.74,297.0,329.21,77.08,283.09,217.35,381.99,128.57,466.54,469.86,309.32,332.57,338.38,300.77,333.17,479.91,324.28,20.36,192.99,259.97,390.81,98.01,59.85,53.53,298.76,299.98,321.32,127.99,543.99,544.91,277.31,454.61,132.3,340.54,540.43,20.46,299.38,259.86,258.39,315.9,325.78,310.37,337.74,540.3,300.11,242.14,321.71
Handunugoda Tea Estate,297.11,519.08,310.76,365.55,446.58,286.0,369.52,411.04,278.74,280.24,474.65,115.84,65.14,369.88,92.54,64.54,215.25,832.02,403.54,28.07,122.42,120.57,515.67,410.49,114.37,354.99,306.47,307.74,116.03,54.3,383.85,31.82,773.11,134.55,341.01,384.06,596.66,360.52,452.12,31.82,122.99,122.41,31.8,326.21,121.45,248.21,91.17,322.93,320.79,0.0,253.07,63.74,75.9,284.53,82.4,458.79,119.54,511.04,807.06,806.96,123.96,27.64,513.27,16.17,8.44,126.49,82.2,66.47,410.87,411.0,599.68,228.06,490.98,839.81,121.78,451.41,216.99,471.84,7.49,56.84,314.28,281.76,315.66,345.56,512.44,330.26,210.44,48.78,373.97,78.34,267.42,580.33,40.12,517.23,453.49,26.41,325.52,506.17,112.79,84.97,265.61,802.8,369.78,809.31,293.75,288.19,825.76,618.11,347.96,123.7,496.35,329.61,123.2,438.54,335.87,283.36,348.63,39.26,447.93,412.35,450.33,345.69,82.64,336.47,470.7,401.96,514.44,517.06,435.71,9.81,34.64,121.38,36.07,559.33,436.44,322.07,48.28,251.4,496.14,260.36,297.15,304.95,124.26,124.26,444.92,411.79,601.59,602.08,107.13,505.28,158.66,26.27,599.22,324.88,121.0,51.6,399.47,48.16,16.61,78.96,37.55,541.67,123.93,278.62,397.17
Henerathgoda Botanical Garden,167.94,293.73,260.19,176.23,289.0,37.66,406.92,209.96,268.86,283.03,398.1,49.11,147.72,316.65,106.41,141.97,255.85,586.71,208.61,276.47,47.22,49.91,290.55,220.59,58.78,342.19,206.4,346.2,48.09,291.6,337.31,241.73,541.63,234.47,341.68,185.25,425.85,329.07,292.69,241.73,49.43,50.04,242.22,250.78,49.29,205.5,296.43,251.91,265.95,253.07,0.0,213.97,295.89,270.96,296.93,271.62,50.31,285.76,564.15,564.13,46.09,244.97,288.35,268.09,259.91,304.53,113.08,143.35,213.6,212.89,422.02,334.26,311.69,597.09,35.85,292.32,353.6,276.77,253.23,164.32,381.98,172.69,336.73,344.23,287.2,252.6,298.95,182.3,265.59,126.29,309.65,409.89,280.55,299.87,276.12,275.13,260.46,282.68,63.83,270.54,23.6,555.17,191.03,566.91,44.61,41.64,584.82,439.38,343.05,48.61,389.34,255.96,46.66,254.97,247.8,98.1,194.68,282.1,289.69,225.22,291.56,343.01,109.74,146.35,270.46,197.85,289.41,292.08,277.25,255.17,238.43,49.36,209.22,403.59,253.18,246.49,190.88,356.44,342.27,188.53,312.49,212.96,42.93,43.83,287.52,213.34,427.78,427.65,299.54,280.29,235.78,246.93,426.15,247.46,49.03,203.67,247.5,283.56,266.92,300.38,286.0,297.23,44.51,352.33,172.99
Hikkaduwa Beach,285.11,496.59,325.29,351.94,443.87,242.7,409.78,400.37,298.84,304.5,493.14,91.49,36.69,392.31,84.4,38.55,246.21,800.19,393.6,48.78,97.21,95.25,493.23,397.62,88.82,386.19,305.72,346.74,91.8,62.94,409.48,35.37,749.38,169.66,374.12,370.74,593.38,385.22,449.06,35.37,97.46,96.86,35.7,336.54,96.1,248.29,151.59,333.9,335.91,63.74,213.97,0.0,138.24,304.74,144.12,448.1,94.31,488.49,776.92,776.86,98.71,40.01,490.89,42.03,65.34,183.54,55.55,38.7,401.14,401.08,594.42,276.21,483.35,809.83,98.21,448.43,270.88,467.96,58.59,51.52,358.68,271.16,351.0,378.66,489.93,340.67,253.18,33.42,380.93,71.98,303.65,576.93,55.36,497.78,445.5,47.89,338.61,484.28,86.81,139.4,222.19,769.05,358.43,779.5,250.36,244.11,796.92,612.76,380.42,98.18,508.08,341.01,97.97,428.35,344.36,264.25,342.69,54.93,445.08,400.35,447.4,378.45,56.73,320.32,456.29,389.51,492.03,494.7,432.4,58.66,31.63,96.02,5.01,559.75,426.29,331.61,56.48,300.62,495.77,254.59,328.16,306.24,99.36,99.26,442.19,401.85,597.51,597.81,165.93,482.78,191.4,42.18,595.32,334.41,95.74,59.67,396.54,59.52,42.7,141.68,53.56,510.0,98.87,322.62,373.2
Hiriketiya Beach,316.54,534.58,297.26,380.31,440.18,331.94,313.52,419.27,262.26,258.17,442.24,268.68,186.74,340.93,198.96,182.52,178.65,855.55,411.39,52.53,282.03,278.91,531.18,417.15,268.27,315.94,311.89,262.65,268.77,26.36,349.78,107.69,787.0,104.98,300.69,397.16,587.88,323.69,445.95,107.69,283.69,282.66,107.64,316.24,280.56,260.74,19.07,312.51,305.44,75.9,295.89,138.24,0.0,267.09,7.68,461.53,276.9,526.75,828.64,828.46,284.87,103.38,528.76,64.36,77.67,57.55,213.55,188.11,417.99,418.33,593.25,166.4,489.35,860.97,277.73,445.19,148.12,468.66,82.59,173.67,254.56,301.46,274.71,304.82,528.11,319.8,157.45,161.59,358.26,173.46,219.9,571.98,37.72,529.12,453.17,53.86,312.21,521.24,266.31,35.85,312.46,828.98,376.05,830.44,339.5,334.92,845.61,611.49,307.89,284.91,471.54,317.98,283.47,441.21,327.19,302.72,349.4,40.14,441.65,417.93,444.07,305.38,213.17,349.71,477.57,412.8,529.95,532.47,430.28,83.78,110.52,280.43,141.57,546.78,439.14,313.5,106.35,187.47,485.74,277.56,264.02,308.16,284.73,284.95,438.56,419.08,593.72,594.42,36.77,521.07,127.25,101.79,591.17,316.03,279.58,100.59,394.68,28.88,61.73,4.49,48.24,567.9,284.43,220.45,417.28
Horton Plains National Park,103.78,508.14,30.58,137.04,362.01,322.05,321.41,162.28,5.91,13.63,399.81,280.11,278.94,87.64,135.21,262.95,94.69,972.43,154.61,292.11,297.15,295.71,503.34,333.69,290.21,87.17,70.41,75.28,279.11,285.96,105.04,305.49,863.81,119.55,79.61,148.61,574.29,249.17,370.24,305.49,301.35,300.64,306.11,50.59,297.26,76.37,250.95,46.78,38.38,284.53,270.96,304.74,267.09,0.0,261.51,393.73,293.42,497.4,931.52,931.18,299.61,304.91,499.93,293.16,296.36,229.48,271.97,274.61,159.96,160.5,581.06,212.66,432.04,976.82,279.6,369.15,249.92,202.33,292.56,283.24,275.94,98.44,67.14,83.51,499.24,53.68,161.87,291.69,250.31,137.64,173.64,551.34,282.51,496.31,380.68,291.71,45.24,488.81,292.82,216.02,304.29,938.81,275.79,933.49,329.87,328.52,953.34,607.22,83.89,302.06,425.21,51.39,298.44,364.86,61.74,202.22,233.98,287.12,364.09,333.88,367.56,82.74,266.25,249.21,419.01,159.43,501.62,505.01,347.68,296.61,304.37,297.17,302.46,517.69,361.93,49.16,158.23,241.61,428.87,87.3,41.66,63.75,296.44,297.56,359.68,161.16,582.24,583.16,239.68,489.51,96.43,305.74,578.68,51.21,295.74,226.07,296.74,277.74,288.66,272.04,299.91,571.8,297.56,232.41,352.76
Hummanaya Blow Hole,314.14,532.27,291.84,377.14,435.96,333.23,306.04,415.31,256.82,252.24,436.0,270.81,190.86,333.9,198.65,186.27,172.64,853.85,407.4,59.82,284.24,281.17,528.87,414.17,270.69,308.16,308.19,254.61,270.87,34.01,342.28,114.21,784.36,100.4,292.86,393.75,583.33,317.27,441.77,114.21,285.96,284.94,114.18,311.04,282.81,258.11,11.49,307.29,299.81,82.4,296.93,144.12,7.68,261.51,0.0,458.12,279.15,524.47,826.74,826.56,287.04,109.98,526.47,71.43,84.54,49.89,216.87,192.09,413.91,414.28,588.88,158.82,485.49,859.0,279.57,440.99,140.46,463.5,89.23,178.19,247.0,299.21,266.98,296.96,525.83,314.53,150.31,166.6,353.4,173.52,212.95,567.48,45.0,526.47,449.47,61.11,306.73,518.9,268.84,32.01,313.9,827.54,373.09,828.5,340.74,336.29,843.51,607.11,300.04,287.16,465.82,312.62,285.66,437.82,322.05,301.23,346.0,47.55,437.44,414.84,439.88,297.56,216.34,347.48,474.51,409.11,527.65,530.15,426.18,90.53,116.97,282.69,147.3,541.95,435.75,308.44,106.59,179.84,481.14,275.25,257.04,304.26,286.84,287.08,434.35,415.03,589.23,589.95,29.13,518.81,122.11,108.45,586.68,310.93,281.82,104.2,390.69,36.15,68.68,8.31,55.83,566.64,286.57,212.97,415.59
Hurulu Eco Park,358.95,77.74,363.17,290.44,57.07,273.65,256.87,244.41,398.1,404.25,157.85,318.47,396.68,337.78,290.13,387.09,309.79,306.61,252.0,471.15,318.8,321.31,76.04,51.69,328.89,374.83,350.81,424.67,317.35,472.04,340.03,463.12,241.83,359.3,388.52,271.71,112.25,177.13,54.57,463.12,321.04,321.65,463.62,343.59,320.82,407.79,451.12,347.38,355.99,458.79,271.62,448.1,461.53,393.73,458.12,0.0,321.52,74.71,283.73,283.47,317.72,464.44,74.81,468.79,467.19,434.97,369.06,392.15,244.76,244.59,109.56,282.24,29.65,305.47,306.44,55.03,308.63,191.51,462.63,409.5,270.79,374.1,409.03,386.23,75.14,340.22,261.77,424.17,137.62,315.01,232.15,100.78,467.31,63.1,14.36,470.5,348.58,69.69,333.81,426.12,283.54,294.62,89.7,284.09,270.85,276.96,292.22,122.41,382.76,320.23,127.15,342.36,318.29,20.36,332.53,186.57,112.14,470.23,56.04,48.06,55.43,384.99,364.64,129.91,21.11,253.54,75.45,76.3,55.27,465.33,461.03,320.88,444.5,100.42,22.46,346.03,369.5,288.56,64.01,395.06,407.57,353.42,314.55,315.45,57.23,243.79,113.57,113.49,443.31,72.36,341.34,465.73,112.39,343.59,320.48,409.2,76.23,465.45,466.14,465.21,478.22,134.84,316.12,265.35,113.4
